lat,lon,name,weight,food
49.2081902,-123.1401346,Freshslice,2.0,1
49.208235,-123.1401305,Donair Spot,2.0,1
49.2376699,-122.7827469,,1.0,1
49.1238349,-123.1858147,The Crab King Restaurant,6.0,1
49.12546,-123.1783832,Richmond Public Library,2.0,0
49.2290279,-122.9989508,Mr. Mustache Tea & Dessert,3.0,1
49.2257507,-123.0659387,Pho Thai Son Restaurant,6.0,1
49.2258678,-123.0661456,On May Chinese Restaurant,6.0,1
49.2318583,-123.0653897,Kim Phung Restaurant,6.0,1
49.2312042,-123.0657754,Freshslice Pizza,2.0,1
49.2320722,-123.065753,MK Chop Chop BBQ House,6.0,1
49.2319986,-123.065745,Shun Fa Noodle House,6.0,1
49.2335229,-123.0653161,Happy Sushi,6.0,1
49.2345972,-123.0656766,Pho Hue,6.0,1
49.2353536,-123.065652,Banh Mi Saigon,6.0,1
49.2376464,-123.0655809,La Maison Da Nang,6.0,1
49.2385647,-123.0655669,Bun Cha Ca Hoang Yen,6.0,1
49.2385372,-123.0651956,Chau Veggie Express,6.0,1
49.2386583,-123.0655595,Kozak Ukraїnian Eatery,6.0,1
49.2429948,-123.0601948,17°C Dessert Café,6.0,1
49.2430699,-123.0603612,Kings Cafe,6.0,1
49.2426381,-123.0592231,Pho Hoa Noodle Soup,6.0,1
49.1807715,-123.1340777,Shiang Garden Seafood Restaurant,6.0,1
49.2809073,-123.0098236,Anton's Pasta Bar,6.0,1
49.0498661,-122.311635,Subway,2.0,1
49.0498031,-122.3114531,A&W,2.0,1
49.0495367,-122.3117487,DQ Orange Julius,2.0,1
49.0496405,-122.3118348,New York Fries,2.0,1
49.0495887,-122.3117934,OPA! of Greece,2.0,1
49.0498388,-122.3117035,Manchu Wok,2.0,1
49.0496845,-122.311872,ono's of Japan,2.0,1
49.0497721,-122.311822,Freshslice Pizza,2.0,1
49.049844,-122.3115361,Thaï Express,2.0,1
49.2458146,-123.0900087,Masayoshi,6.0,1
49.2467148,-123.1010057,Meet on Main,6.0,1
49.2832439,-123.104844,Meet in Gastown,6.0,1
49.1524881,-122.8900312,Chongqing,6.0,1
49.2513521,-123.1011962,Bob Likes Thai Food,6.0,1
49.2507803,-123.1011735,The Fish Counter,6.0,1
49.1698396,-122.889851,Thai by Thai,6.0,1
49.1542575,-122.8908904,Tasty Indian Bistro,6.0,1
49.1654474,-122.8898095,Krishna's Dosa Grill,6.0,1
49.1637058,-122.8909132,Desi Junction Lounge & Restaurant,6.0,1
49.1485074,-122.8714418,Mayuri Indian Cuisine,6.0,1
49.2826068,-123.108081,Goldcorp Centre for the Arts,5.0,0
49.2799912,-123.1164576,The Centre For Performing Arts,5.0,0
49.11765,-122.6689767,Chuck E. Cheese's,6.0,1
49.1754035,-123.1342502,No. 9 Restaurant,6.0,1
49.1707675,-123.1358591,HaiDiLao Hot Pot,6.0,1
49.2313896,-123.0657674,Mui Garden,6.0,1
49.2630367,-123.1013042,Freshslice Pizza,2.0,1
49.2630411,-123.1015414,Fable Diner,6.0,1
49.2808856,-123.011264,Waves Coffee,3.0,1
49.1055548,-122.7402471,The Chopped Leaf,6.0,1
49.1036075,-122.492109,Lotus Garden Express,6.0,1
49.1772664,-122.6731048,Zythos,6.0,1
49.1328835,-122.846132,Tim Hortons,3.0,1
49.0513372,-122.691921,Tim Hortons,3.0,1
49.0513337,-122.692377,Kalamaki Greek Grill,6.0,1
49.1997306,-122.7784622,A&W,2.0,1
49.2012847,-122.9125513,Hub Restaurant New West,6.0,1
49.2018963,-122.9126506,The Old Spaghetti Factory,6.0,1
49.2814683,-123.1172443,Glowbal,6.0,1
49.2081236,-123.1407827,McDonald's,2.0,1
49.2601826,-123.0056472,McDonald's,2.0,1
49.265883,-123.0242786,McDonald's,2.0,1
49.125282,-123.1847472,Steveston's Coffee Co.,3.0,1
49.1239129,-123.1863673,Pajo's Fish and Chips,2.0,1
49.2467974,-123.068237,Subway,2.0,1
49.2191586,-122.9695668,Papa John's,2.0,1
49.2196492,-122.9692126,A&W,2.0,1
49.2196001,-122.9683007,Subway,2.0,1
