lon,lat
-122.904705,49.286816
-122.905337,49.286923
-122.906852,49.287239
-122.908707,49.287622
-122.909397,49.287754
-122.910106,49.287862
-122.910798,49.287947
-122.911238,49.287985
-122.911639,49.28801
-122.912258,49.288035
-122.912984,49.288025
-122.913371,49.288005
-122.914233,49.287942
-122.914408,49.287921
-122.914538,49.287908
-122.914675,49.287894
-122.91492,49.287871
-122.915518,49.287833
-122.915852,49.287824
-122.916233,49.28783
-122.916512,49.287846
-122.916989,49.287887
-122.917888,49.287971
-122.919132,49.288105
-122.919446,49.288129
-122.919763,49.288145
-122.920267,49.28815
-122.920666,49.288135
-122.921282,49.288095
-122.921784,49.288073
-122.922003,49.288076
-122.922384,49.288104
-122.922595,49.288133
-122.922864,49.288179
-122.92331,49.288296
-122.923824,49.288463
-122.924302,49.288639
-122.924929,49.288868
-122.925319,49.288992
-122.925517,49.289053
-122.925539,49.28906
-122.925561,49.289066
-122.925671,49.289095
-122.925859,49.289145
-122.926033,49.289185
-122.926395,49.289259
-122.926725,49.28931
-122.927032,49.289353
-122.927358,49.289394
-122.928611,49.289549
-122.92935,49.289669
-122.931021,49.290013
-122.931611,49.290131
-122.932221,49.290259
-122.933108,49.290443
-122.933627,49.290532
-122.934272,49.290602
-122.934841,49.290636
-122.935489,49.290646
-122.936048,49.290627
-122.936587,49.290582
-122.938936,49.290373
-122.939459,49.290312
-122.93989,49.290241
-122.940198,49.29017
-122.940774,49.289972
-122.940963,49.289882
-122.940997,49.289866
-122.941087,49.289822
-122.941334,49.28969
-122.941565,49.289569
-122.941916,49.289374
-122.942352,49.28915
-122.942702,49.288993
-122.943106,49.288859
-122.943491,49.288761
-122.94385,49.288698
-122.944215,49.288658
-122.944561,49.288639
-122.944956,49.288643
-122.945522,49.288675
-122.946052,49.288713
-122.946586,49.288755
-122.947151,49.288806
-122.947661,49.288839
-122.94799,49.288844
-122.948322,49.288832
-122.948645,49.288796
-122.949103,49.288713
-122.949406,49.288635
-122.949754,49.288531
-122.950511,49.288269
-122.951027,49.288077
-122.951599,49.287841
-122.951951,49.287666
-122.952444,49.287391
-122.952801,49.28717
-122.953026,49.287008
-122.953311,49.286775
-122.95334,49.286753
-122.953395,49.286706
-122.953515,49.286602
-122.95367,49.286458
-122.95399,49.286132
-122.954253,49.285821
-122.955607,49.283964
-122.95583,49.283654
-122.955836,49.283644
-122.955897,49.28356
-122.955963,49.283466
-122.95672,49.282422
-122.95713,49.281896
-122.957557,49.281439
-122.958026,49.281035
-122.958252,49.280891
-122.958595,49.280703
-122.958644,49.280676
-122.958792,49.280622
-122.959042,49.28053
-122.959385,49.280423
-122.959745,49.280337
-122.960456,49.280252
-122.960735,49.280176
-122.961026,49.280178
-122.961404,49.280197
-122.962204,49.280257
-122.962468,49.280276
-122.962652,49.280289
-122.962944,49.280308
-122.963168,49.280328
-122.96349,49.280349
-122.963654,49.280359
-122.963762,49.280364
-122.963982,49.280373
-122.96416,49.280373
-122.964513,49.280372
-122.964552,49.28037
-122.964675,49.280369
-122.96478,49.280369
-122.96482,49.280369
-122.965842,49.280364
-122.966033,49.28036
-122.966181,49.280416
-122.96712,49.280416
-122.967756,49.280417
-122.968991,49.280414
-122.969848,49.280413
-122.969903,49.280412
-122.970029,49.280414
-122.97016,49.280416
-122.972083,49.280401
-122.972512,49.280345
-122.97452,49.280339
-122.975401,49.280339
-122.97543,49.280339
-122.975551,49.280339
-122.975657,49.280339
-122.975701,49.280339
-122.976653,49.280339
-122.976856,49.280339
-122.977637,49.280336
-122.978169,49.280334
-122.978877,49.280333
-122.979394,49.280333
-122.98035,49.280342
-122.980807,49.280346
-122.980915,49.280347
-122.981054,49.280346
-122.981474,49.280344
-122.981532,49.280343
-122.982299,49.280338
-122.982874,49.280338
-122.983019,49.280338
-122.983541,49.280339
-122.983592,49.280339
-122.983699,49.280339
-122.983821,49.280338
-122.983849,49.280338
-122.984071,49.280338
-122.985461,49.280342
-122.987656,49.280349
-122.987697,49.280349
-122.987806,49.280348
-122.987917,49.28035
-122.987952,49.28035
-122.988906,49.280356
-122.989054,49.280354
-122.989219,49.280347
-122.989362,49.280393
-122.989725,49.280369
-122.990104,49.280322
-122.990143,49.280317
-122.9903,49.280294
-122.990524,49.280264
-122.990568,49.280257
-122.991112,49.280185
-122.991323,49.280171
-122.991498,49.28017
-122.991751,49.28018
-122.991979,49.280213
-122.992159,49.280252
-122.992334,49.280303
-122.992514,49.280369
-122.992649,49.280382
-122.99276,49.280442
-122.993061,49.280602
-122.993236,49.280693
-122.993406,49.280761
-122.993658,49.280848
-122.993833,49.280895
-122.993996,49.280929
-122.994195,49.280963
-122.994461,49.280981
-122.994599,49.280986
-122.994713,49.280988
-122.994849,49.280991
-122.995271,49.280994
-122.996235,49.280996
-122.99732,49.280998
-122.997373,49.280998
-122.997463,49.280999
-122.997577,49.280999
-122.997614,49.280999
-122.998913,49.281003
-123.000089,49.281006
-123.000126,49.281006
-123.000213,49.281006
-123.000357,49.281006
-123.000383,49.281006
-123.001316,49.28101
-123.002316,49.281014
-123.002343,49.281014
-123.002754,49.281016
-123.002932,49.281016
-123.003117,49.281017
-123.003137,49.281017
-123.003277,49.281017
-123.003774,49.281018
-123.004147,49.281018
-123.004254,49.281017
-123.004801,49.281017
-123.005731,49.281025
-123.005767,49.281025
-123.005878,49.281025
-123.005998,49.281026
-123.006036,49.281026
-123.00848,49.281034
-123.008531,49.281034
-123.008646,49.281034
-123.008779,49.281035
-123.008809,49.281035
-123.010704,49.28104
-123.010905,49.281041
-123.011271,49.281043
-123.011322,49.281043
-123.011412,49.281044
-123.011544,49.281044
-123.011572,49.281044
-123.012108,49.281045
-123.012373,49.281047
-123.01292,49.281049
-123.013597,49.281052
-123.013945,49.281053
-123.014079,49.281053
-123.014189,49.281054
-123.014313,49.281054
-123.016137,49.281071
